token,label_1,label_2,labels (1),30 classes,99.93% completed,labels (2),1,0.02% completed,Notes
-,O,,,,,,,,
must,O,,,,,,,,
mention,O,,,,,,,,
packing,b-field,,,,,,,,
date,i-field,,,,,,,,
2,i-field,,,,,,,,
feb,i-field,,,,,,,,
2020,i-field,,,,,,,,
and,b-and,,,,,,,,
packing,b-field,,,,,,,,
place,i-field,,,,,,,,
,,,,,,,,,
original,b-field,,,,,,,,
and,b-and,,,,,,,,
1,b-field,,,,,,,,
copy,i-field,,,,,,,,
of,b-of,,,,,,,,
fumigation,b-document,,,,,,,,
certificate,i-document,,,,,,,,
,,,,,,,,,
1,O,,,,,,,,
.,O,,,,,,,,
one,b-field,,,,,,,,
original,i-field,,,,,,,,
and,b-and,,,,,,,,
two,b-field,,,,,,,,
copies,i-field,,,,,,,,
of,b-of,,,,,,,,
signed,b-field,,,,,,,,
commercial,b-document,,,,,,,,
invoice,i-document,,,,,,,,
showing,O,,,,,,,,
the,O,,,,,,,,
actual,b-field,,,,,,,,
tonnage,i-field,X,,,,,,,
shipped,i-field,,,,,,,,
as,O,,,,,,,,
determined,O,,,,,,,,
at,b-by,,,,,,,,
the,O,,,,,,,,
loading,b-actor,,,,,,,,
port,i-field,,,,,,,,
pursuant,O,,,,,,,,
to,O,,,,,,,,
the,O,,,,,,,,
draft,b-field,,,,,,,,
survey,i-document,,,,,,,,
report,i-document,,,,,,,,
issued,O,,,,,,,,
by,b-by,,,,,,,,
pt,b-actor,,,,,,,,
test,i-actor,,,,,,,,
indonesia,i-actor,,,,,,,,
",",O,,,,,,,,
and,O,,,,,,,,
the,O,,,,,,,,
quality,b-field,,,,,,,,
determined,O,,,,,,,,
at,b-by,,,,,,,,
the,O,,,,,,,,
loading,b-actor,,,,,,,,
port,i-field,,,,,,,,
pursuant,O,,,,,,,,
to,O,,,,,,,,
the,O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
sampling,i-document,,,,,,,,
and,i-document,,,,,,,,
analysis,i-document,,,,,,,,
issued,O,,,,,,,,
and,b-and,,,,,,,,
signed,b-field,,,,,,,,
by,b-by,,,,,,,,
pt,b-actor,,,,,,,,
test,i-actor,,,,,,,,
indonesia,i-actor,,,,,,,,
at,i-actor,,,,,,,,
loading,b-field,,,,,,,,
port,i-field,,,,,,,,
",",b-and,,,,,,,,
the,O,,,,,,,,
total,b-field,,,,,,,,
invoice,i-document,,,,,,,,
value,i-field,,,,,,,,
of,b-of,,,,,,,,
the,O,,,,,,,,
shipment,i-field,,,,,,,,
",",b-and,,,,,,,,
the,O,,,,,,,,
l,b-field,,,,,,,,
/,i-field,,,,,,,,
c,i-field,,,,,,,,
no,i-field,,,,,,,,
",",b-and,,,,,,,,
and,b-and,,,,,,,,
premium,b-field,,,,,,,,
/,b-or,,,,,,,,
penalty,b-field,,,,,,,,
adjustment,i-field,,,,,,,,
",",O,,,,,,,,
if,O,,,,,,,,
any,O,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
2,O,,,,,,,,
.,O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
of,O,,,,,,,,
three,b-field,,,,,,,,
originals,i-field,,,,,,,,
and,b-and,,,,,,,,
three,b-field,,,,,,,,
non,i-field,,,,,,,,
-,i-field,,,,,,,,
negotiable,i-field,,,,,,,,
copies,i-field,,,,,,,,
of,b-of,,,,,,,,
clean,b-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
",",b-and,,,,,,,,
charter,b-document,,,,,,,,
party,i-document,,,,,,,,
bills,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
consigned,O,,,,,,,,
to,O,,,,,,,,
order,O,,,,,,,,
",",o,,,,,,,,
endorsed,O,,,,,,,,
in,O,,,,,,,,
favour,O,,,,,,,,
of,b-of,,,,,,,,
the,O,,,,,,,,
lc,b-actor,,,,,,,,
opening,i-actor,,,,,,,,
bank,i-actor,,,,,,,,
and,b-and,,,,,,,,
marked,O,,,,,,,,
',O,,,,,,,,
freight,b-field,,,,,,,,
payable,i-field,,,,,,,,
as,X,,,,,,,,
per,X,,,,,,,,
charter,b-document,,,,,,,,
party,i-document,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,O,,,,,,,,
.,O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
sampling,i-document,,,,,,,,
and,i-document,,,,,,,,
analysis,i-document,,,,,,,,
in,b-in,,,,,,,,
1,b-field,,,,,,,,
original,i-field,,,,,,,,
and,b-and,,,,,,,,
two,b-field,,,,,,,,
copies,i-field,,,,,,,,
issued,O,,,,,,,,
and,O,,,,,,,,
signed,O,,,,,,,,
by,b-by,,,,,,,,
pt,b-actor,,,,,,,,
test,i-actor,,,,,,,,
indonesia,i-actor,,,,,,,,
at,X,,,,,,,,
loading,b-field,,,,,,,,
port,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
4,O,,,,,,,,
.,O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
weight,i-document,,,,,,,,
in,b-in,,,,,,,,
1,b-field,,,,,,,,
original,i-field,,,,,,,,
and,b-and,,,,,,,,
two,b-field,,,,,,,,
copies,i-field,,,,,,,,
issued,O,,,,,,,,
and,O,,,,,,,,
signed,O,,,,,,,,
by,b-by,,,,,,,,
pt,b-actor,,,,,,,,
test,i-actor,,,,,,,,
indonesia,i-actor,,,,,,,,
at,X,,,,,,,,
loading,b-field,,,,,,,,
port,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
5,b-field,X,Puria starts here,,,,,,
.,O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
origin,i-document,,,,,,,,
in,b-in,,,,,,,,
1,b-field,,,,,,,,
original,i-field,,,,,,,,
and,b-and,,,,,,,,
two,b-field,,,,,,,,
copies,i-field,,,,,,,,
issued,O,,,,,,,,
and,b-and,,,,,,,,
signed,b-field,,,,,,,,
by,b-by,,,,,,,,
pt,b-actor,,,,,,,,
test,i-actor,,,,,,,,
indonesia,i-actor,,,,,,,,
at,O,,,,,,,,
loading,b-field,,,,,,,,
port,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
6,b-field,,,,,,,,
.,O,,,,,,,,
draft,b-document,,,,,,,,
survey,i-document,,,,,,,,
report,i-document,,,,,,,,
in,b-in,,,,,,,,
1,b-field,,,,,,,,
original,i-field,,,,,,,,
and,b-and,,,,,,,,
two,b-field,,,,,,,,
copies,i-field,,,,,,,,
issued,O,,,,,,,,
and,b-and,,,,,,,,
signed,b-field,,,,,,,,
by,b-by,,,,,,,,
pt,b-actor,,,,,,,,
test,i-actor,,,,,,,,
indonesia,i-actor,,,,,,,,
at,O,,,,,,,,
loading,b-actor,,,,,,,,
port,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
7,b-field,,,,,,,,
.,O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
hold,i-document,,,,,,,,
cleanliness,i-document,,,,,,,,
in,b-in,,,,,,,,
1,b-field,,,,,,,,
original,i-field,,,,,,,,
and,b-and,,,,,,,,
two,b-field,,,,,,,,
copies,i-field,,,,,,,,
issued,O,,,,,,,,
and,b-and,,,,,,,,
signed,b-field,,,,,,,,
by,b-by,,,,,,,,
pt,b-actor,,,,,,,,
test,i-actor,,,,,,,,
indonesia,i-actor,,,,,,,,
at,O,,,,,,,,
loading,b-actor,,,,,,,,
port,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
8,b-field,,,,,,,,
.,O,,,,,,,,
beneficiary,b-document,,,,,,,,
certificate,i-document,,,,,,,,
confirming,O,,,,,,,,
that,O,,,,,,,,
a,O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
of,O,,,,,,,,
non,b-document,,,,,,,,
-,i-document,,,,,,,,
negotiable,i-document,,,,,,,,
copies,i-document,,,,,,,,
of,b-of,,,,,,,,
documents,i-document,,,,,,,,
have,O,,,,,,,,
been,O,,,,,,,,
emailed,O,,,,,,,,
to,b-to,,,,,,,,
applicant,b-actor,,,,,,,,
docsreses,i-document,,,,,,,,
.,i-field,,,,,,,,
com,i-field,,,,,,,,
within,b-within,,,,,,,,
5,b-field,,,,,,,,
(,i-field,,,,,,,,
five,i-field,,,,,,,,
),i-field,,,,,,,,
business,i-field,,,,,,,,
days,i-field,,,,,,,,
after,b-after,,,,,,,,
bl,i-field,,,,,,,,
date,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,b-field,,,,,,,,
.,O,,,,,,,,
commercial,b-document,,,,,,,,
invoice,i-document,,,,,,,,
in,b-in,,,,,,,,
1,b-field,,,,,,,,
original,i-field,,,,,,,,
and,b-and,,,,,,,,
4,b-field,,,,,,,,
copies,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
2,O,,,,,,,,
.,O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
of,O,,,,,,,,
original,b-field,,,,,,,,
clean,b-document,,,,,,,,
',i-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
',i-document,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,O,,,,,,,,
order,O,,,,,,,,
and,b-and,,,,,,,,
endorsed,O,,,,,,,,
in,O,,,,,,,,
blank,b-field,,,,,,,,
marked,i-field,,,,,,,,
',i-field,,,,,,,,
freight,b-field,,,,,,,,
collect,i-field,,,,,,,,
',i-field,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
applicant,b-actor,,,,,,,,
and,b-and,,,,,,,,
issuing,b-actor,,,,,,,,
bank,i-actor,,,,,,,,
quoting,O,,,,,,,,
the,O,,,,,,,,
number,b-field,,,,,,,,
of,b-of,,,,,,,,
this,O,,,,,,,,
credit,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,b-field,,,,,,,,
.,O,,,,,,,,
packing,b-document,,,,,,,,
list,i-document,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,b-field,,,,,,,,
.,O,,,,,,,,
commercial,b-document,,,,,,,,
invoice,i-document,,,,,,,,
in,b-in,,,,,,,,
1,b-field,,,,,,,,
original,i-field,,,,,,,,
and,b-and,,,,,,,,
4,b-field,,,,,,,,
copies,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
2,O,,,,,,,,
.,O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
of,O,,,,,,,,
original,b-field,,,,,,,,
clean,b-document,,,,,,,,
',i-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
',i-document,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,O,,,,,,,,
order,O,,,,,,,,
and,b-and,,,,,,,,
endorsed,O,,,,,,,,
in,O,,,,,,,,
blank,b-field,,,,,,,,
marked,i-field,,,,,,,,
',i-field,,,,,,,,
freight,b-field,,,,,,,,
collect,i-field,,,,,,,,
',i-field,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
applicant,b-actor,,,,,,,,
and,b-and,,,,,,,,
issuing,b-actor,,,,,,,,
bank,i-actor,,,,,,,,
quoting,O,,,,,,,,
the,O,,,,,,,,
number,b-field,,,,,,,,
of,b-of,,,,,,,,
this,O,,,,,,,,
credit,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,b-field,,,,,,,,
.,O,,,,,,,,
packing,b-document,,,,,,,,
list,i-document,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,O,,,,,,,,
.,O,,,,,,,,
original,b-field,,,,,,,,
signed,b-field,,,,,,,,
commercial,b-document,,,,,,,,
invoices,i-document,,,,,,,,
in,b-in,,,,,,,,
one,b-field,,,,,,,,
original,i-field,,,,,,,,
and,b-and,,,,,,,,
four,b-field,,,,,,,,
copies,i-field,,,,,,,,
indicating,O,,,,,,,,
that,O,,,,,,,,
the,O,,,,,,,,
import,b-field,,,,,,,,
into,i-document,,,,,,,,
india,b-field,,,,,,,,
is,O,,,,,,,,
covered,O,,,,,,,,
under,O,,,,,,,,
ogl,b-field,,,,,,,,
and,b-and,,,,,,,,
the,O,,,,,,,,
item,b-document,,,,,,,,
does,O,,,,,,,,
not,O,,,,,,,,
appear,O,,,,,,,,
in,i-field,,,,,,,,
the,O,,,,,,,,
negative,b-field,,,,,,,,
or,b-or,,,,,,,,
restricted,b-field,,,,,,,,
list,i-field,,,,,,,,
of,i-field,,,,,,,,
foreign,b-document,,,,,,,,
trade,i-document,,,,,,,,
policy,i-field,,,,,,,,
2015,i-field,,,,,,,,
-,i-field,,,,,,,,
2020,i-field,,,,,,,,
.,O,,,,,,,,
1a,b-field,,,,,,,,
.,O,,,,,,,,
invoice,b-document,,,,,,,,
must,O,,,,,,,,
certify,O,,,,,,,,
that,O,,,,,,,,
goods,b-goods,,,,,,,,
supplied,O,,,,,,,,
are,O,,,,,,,,
as,O,,,,,,,,
per,O,,,,,,,,
beneficiary,b-document,,,,,,,,
proforma,i-field,,,,,,,,
invoice,i-document,,,,,,,,
no,i-field,,,,,,,,
.,i-field,,,,,,,,
p,i-field,,,,,,,,
/,i-field,,,,,,,,
il,i-field,,,,,,,,
191121,i-field,,,,,,,,
dated,O,,,,,,,,
21,b-field,,,,,,,,
.,i-field,,,,,,,,
11,i-field,,,,,,,,
.,i-field,,,,,,,,
2019,O,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
2,O,,,,,,,,
.,O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
original,b-field,,,,,,,,
clean,b-document,,,,,,,,
',i-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
',i-document,,,,,,,,
bill,i-document,,,,,,,,
(,i-document,,,,,,,,
s,i-document,,,,,,,,
),i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
plus,O,,,,,,,,
three,b-field,,,,,,,,
copies,i-field,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,O,,,,,,,,
shipper,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
order,i-document,,,,,,,,
",",O,,,,,,,,
endorsed,O,,,,,,,,
in,b-in,,,,,,,,
blank,b-field,,,,,,,,
marked,i-field,,,,,,,,
freight,i-field,,,,,,,,
collect,i-field,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
the,O,,,,,,,,
hongkong,i-actor,,,,,,,,
and,i-actor,,,,,,,,
shanghai,i-actor,,,,,,,,
banking,i-actor,,,,,,,,
corporation,i-actor,,,,,,,,
limited,i-actor,,,,,,,,
",",i-actor,,,,,,,,
gurgaon,i-actor,,,,,,,,
and,b-and,,,,,,,,
applicant,b-actor,,,,,,,,
with,O,,,,,,,,
full,b-field,,,,,,,,
address,i-field,,,,,,,,
.,O,,,,,,,,
2a,b-field,,,,,,,,
.,O,,,,,,,,
b,i-document,,,,,,,,
/,i-document,,,,,,,,
l,i-document,,,,,,,,
to,O,,,,,,,,
evidence,O,,,,,,,,
14,b-field,,,,,,,,
days,i-field,,,,,,,,
free,b-field,,,,,,,,
detention,i-document,,,,,,,,
period,i-field,,,,,,,,
at,b-after,,,,,,,,
final,b-field,,,,,,,,
destination,i-field,,,,,,,,
or,b-and,,,,,,,,
a,O,,,,,,,,
separate,b-field,,,,,,,,
shipping,i-document,,,,,,,,
company,i-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
certificate,i-document,,,,,,,,
to,O,,,,,,,,
this,O,,,,,,,,
effect,O,,,,,,,,
is,O,,,,,,,,
also,O,,,,,,,,
acceptable,O,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,O,,,,,,,,
.,O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
people,b-field,,,,,,,,
',i-document,,,,,,,,
s,i-actor,,,,,,,,
republic,i-document,,,,,,,,
of,i-document,,,,,,,,
china,i-field,,,,,,,,
origin,i-document,,,,,,,,
issued,O,,,,,,,,
under,O,,,,,,,,
asia,b-field,,,,,,,,
-,i-actor,,,,,,,,
pacific,i-field,,,,,,,,
trade,i-field,,,,,,,,
agreement,i-document,,,,,,,,
in,b-in,,,,,,,,
one,b-field,,,,,,,,
original,i-field,,,,,,,,
plus,b-and,,,,,,,,
one,b-field,,,,,,,,
copy,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
4,O,,,,,,,,
.,O,,,,,,,,
shipping,b-document,,,,,,,,
company,i-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
or,b-or,,,,,,,,
shipping,b-document,,,,,,,,
agent,i-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
certificate,i-document,,,,,,,,
certifying,O,,,,,,,,
that,O,,,,,,,,
the,O,,,,,,,,
carrying,b-field,,,,,,,,
vessel,i-field,,,,,,,,
is,O,,,,,,,,
seaworthy,b-field,,,,,,,,
and,b-and,,,,,,,,
is,O,,,,,,,,
not,b-field,,,,,,,,
more,i-field,,,,,,,,
than,i-field,,,,,,,,
25,b-field,,,,,,,,
years,i-field,,,,,,,,
old,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
5,b-field,,,,,,,,
.,O,,,,,,,,
packing,b-document,,,,,,,,
list,i-document,,,,,,,,
to,O,,,,,,,,
be,O,,,,,,,,
issued,O,,,,,,,,
by,b-by,,,,,,,,
beneficiary,b-actor,,,,,,,,
in,b-in,,,,,,,,
quadruplicate,i-field,,,,,,,,
.,O,,,,,,,,
5a,b-field,,,,,,,,
.,O,,,,,,,,
all,O,,,,,,,,
the,O,,,,,,,,
material,O,,,,,,,,
should,O,,,,,,,,
be,O,,,,,,,,
packed,O,,,,,,,,
in,b-in,,,,,,,,
seaworthy,b-field,,,,,,,,
packaging,i-field,,,,,,,,
boxes,i-field,,,,,,,,
or,b-or,,,,,,,,
palletized,b-field,,,,,,,,
to,O,,,,,,,,
avoid,O,,,,,,,,
transit,b-field,,,,,,,,
damage,i-field,,,,,,,,
and,b-and,,,,,,,,
packing,b-document,,,,,,,,
list,i-document,,,,,,,,
to,O,,,,,,,,
evidence,O,,,,,,,,
the,O,,,,,,,,
same,O,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
6,O,,,,,,,,
.,O,,,,,,,,
an,O,,,,,,,,
additional,O,,,,,,,,
copy,i-field,,,,,,,,
of,b-of,,,,,,,,
the,O,,,,,,,,
invoice,b-document,,,,,,,,
(,i-document,,,,,,,,
s,i-document,,,,,,,,
),i-document,,,,,,,,
and,b-and,,,,,,,,
transport,b-document,,,,,,,,
document,i-document,,,,,,,,
(,i-document,,,,,,,,
s,i-document,,,,,,,,
),i-field,,,,,,,,
is,O,,,,,,,,
/,O,,,,,,,,
are,O,,,,,,,,
required,O,,,,,,,,
for,O,,,,,,,,
the,O,,,,,,,,
issuing,b-actor,,,,,,,,
banks,i-field,,,,,,,,
file,i-document,,,,,,,,
.,b-with,,,,,,,,
in,O,,,,,,,,
the,O,,,,,,,,
event,O,,,,,,,,
such,O,,,,,,,,
copies,i-field,,,,,,,,
are,O,,,,,,,,
not,O,,,,,,,,
provided,O,,,,,,,,
",",O,,,,,,,,
an,O,,,,,,,,
additional,O,,,,,,,,
usd,b-field,,,,,,,,
10,i-field,,,,,,,,
.,i-field,,,,,,,,
0,i-field,,,,,,,,
(,O,,,,,,,,
or,O,,,,,,,,
its,O,,,,,,,,
equivalent,i-field,,,,,,,,
),i-field,,,,,,,,
will,O,,,,,,,,
be,O,,,,,,,,
deducted,O,,,,,,,,
from,O,,,,,,,,
the,O,,,,,,,,
bill,b-document,,,,,,,,
proceeds,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,O,,,,,,,,
.,O,,,,,,,,
signed,b-field,,,,,,,,
commercial,b-document,,,,,,,,
invoices,i-document,,,,,,,,
in,b-in,,,,,,,,
quadriplicate,i-field,,,,,,,,
indicating,O,,,,,,,,
that,O,,,,,,,,
the,O,,,,,,,,
import,b-field,,,,,,,,
into,i-document,,,,,,,,
india,b-field,,,,,,,,
is,O,,,,,,,,
covered,O,,,,,,,,
under,O,,,,,,,,
ogl,b-field,,,,,,,,
and,b-and,,,,,,,,
the,O,,,,,,,,
item,b-document,,,,,,,,
does,O,,,,,,,,
not,O,,,,,,,,
appear,O,,,,,,,,
in,i-field,,,,,,,,
the,O,,,,,,,,
negative,b-field,,,,,,,,
or,b-or,,,,,,,,
restricted,b-field,,,,,,,,
list,i-field,,,,,,,,
of,i-field,,,,,,,,
foreign,b-document,,,,,,,,
trade,i-document,,,,,,,,
policy,i-field,,,,,,,,
2015,i-field,,,,,,,,
-,i-field,,,,,,,,
2020,i-field,,,,,,,,
.,O,,,,,,,,
1a,b-field,,,,,,,,
.,O,,,,,,,,
invoices,b-document,,,,,,,,
to,O,,,,,,,,
state,O,,,,,,,,
that,O,,,,,,,,
goods,b-goods,,,,,,,,
are,O,,,,,,,,
shipped,b-field,,,,,,,,
as,O,,,,,,,,
per,O,,,,,,,,
sales,b-field,,,,,,,,
contract,i-field,,,,,,,,
no,i-field,,,,,,,,
.,i-field,,,,,,,,
inplast030601,i-field,,,,,,,,
dated,O,,,,,,,,
6,b-field,,,,,,,,
mar,i-field,,,,,,,,
2020,i-field,,,,,,,,
of,b-of,,,,,,,,
test,b-actor,,,,,,,,
ltd,i-actor,,,,,,,,
",",i-actor,,,,,,,,
south,i-actor,,,,,,,,
korea,i-actor,,,,,,,,
.,O,,,,,,,,
1b,b-field,,,,,,,,
.,O,,,,,,,,
invoice,b-document,,,,,,,,
should,O,,,,,,,,
mention,O,,,,,,,,
amount,b-field,,,,,,,,
of,i-field,,,,,,,,
ocean,b-field,,,,,,,,
freight,i-field,,,,,,,,
paid,i-field,,,,,,,,
for,b-of,,,,,,,,
the,O,,,,,,,,
consignment,b-document,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
2,b-field,,,,,,,,
.,O,,,,,,,,
full,b-field,,,,,,,,
set,O,,,,,,,,
original,b-field,,,,,,,,
clean,b-document,,,,,,,,
',i-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
',i-document,,,,,,,,
bill,i-document,,,,,,,,
